pcon-code,pcon-nm,Name,Speed,Superfast,UnableDecent,Under2,Under10,Over30
E14000579,Bolton South East,Bolton South East,55.9,0.98937,0.00089,0.00940,0.18300,0.61440
E14000580,Bolton West,Bolton West,58.9,0.98498,0.00539,0.00860,0.14160,0.61640
E14000581,Bootle,Bootle,68.5,0.99709,0.00253,0.00850,0.14510,0.69010
E14000582,Boston and Skegness,Boston and Skegness,29.3,0.89830,0.04339,0.03460,0.26740,0.43660
E14000583,Bosworth,Bosworth,51.3,0.95643,0.01826,0.01740,0.17460,0.59820
E14000584,Bournemouth East,Bournemouth East,61.1,0.99876,0.00033,0.00760,0.12630,0.66540
E14000585,Bournemouth West,Bournemouth West,58.9,0.99603,0.00075,0.00790,0.14150,0.62580
E14000586,Bracknell,Bracknell,55.2,0.95091,0.01430,0.01890,0.17990,0.66150
E14000587,Bradford East,Bradford East,52.5,0.98690,0.00367,0.00550,0.15480,0.55270
E14000588,Bradford South,Bradford South,54.1,0.98542,0.00845,0.01160,0.21510,0.58670
E14000589,Bradford West,Bradford West,51.5,0.97530,0.00584,0.01130,0.15590,0.53650
E14000590,Braintree,Braintree,30.3,0.86836,0.05586,0.03400,0.25120,0.44200
W07000068,Brecon and Radnorshire,Brecon and Radnorshire,24.2,0.76832,0.13516,0.06090,0.34690,0.29470
E14000591,Brent Central,Brent Central,39.2,0.96392,0.01510,0.01560,0.21770,0.50320
E14000592,Brent North,Brent North,56.7,0.98597,0.00438,0.01000,0.16180,0.61670
E14000593,Brentford and Isleworth,Brentford and Isleworth,61,0.99266,0.00268,0.00680,0.15080,0.63210
E14000594,Brentwood and Ongar,Brentwood and Ongar,48.2,0.92769,0.01444,0.02960,0.25070,0.45660
W07000073,Bridgend,Bridgend,30.9,0.95437,0.00930,0.01970,0.26610,0.50040
E14000595,Bridgwater and West Somerset,Bridgwater and West Somerset,29.7,0.89566,0.05187,0.03240,0.29370,0.44450
E14000596,Brigg and Goole,Brigg and Goole,32.2,0.91157,0.02431,0.03600,0.20220,0.47440
E14000597,"Brighton, Kemptown","Brighton, Kemptown",58.9,0.98739,0.00087,0.00940,0.12570,0.62230
E14000598,"Brighton, Pavilion","Brighton, Pavilion",69.1,0.98637,0.02300,0.00840,0.15340,0.70350
E14000599,Bristol East,Bristol East,67.6,0.98418,0.01690,0.00740,0.16770,0.66100
E14000600,Bristol North West,Bristol North West,67.8,0.98606,0.00792,0.00880,0.13590,0.67090
E14000601,Bristol South,Bristol South,69.9,0.99140,0.00743,0.00400,0.11580,0.67560
E14000602,Bristol West,Bristol West,62.4,0.93027,0.01506,0.00350,0.08640,0.60600
E14000603,Broadland,Broadland,29.6,0.87933,0.05728,0.03790,0.25970,0.43610
E14000604,Bromley and Chislehurst,Bromley and Chislehurst,60.2,0.98541,0.00186,0.00610,0.15600,0.63120
E14000605,Bromsgrove,Bromsgrove,40.3,0.94902,0.01165,0.02250,0.23490,0.55290
E14000606,Broxbourne,Broxbourne,65.5,0.98186,0.00364,0.01720,0.16930,0.69260
E14000607,Broxtowe,Broxtowe,67.9,0.99512,0.00151,0.01130,0.15070,0.68870
E14000608,Buckingham,Buckingham,65.5,0.86601,0.05803,0.03480,0.24220,0.46410
E14000609,Burnley,Burnley,56.8,0.98809,0.00254,0.01440,0.18570,0.63630
E14000610,Burton,Burton,31.3,0.94285,0.01431,0.03240,0.27090,0.51400
E14000611,Bury North,Bury North,37.9,0.97430,0.00214,0.01200,0.23050,0.54520
E14000612,Bury South,Bury South,49.2,0.97864,0.00158,0.00950,0.17270,0.56790
E14000613,Bury St Edmunds,Bury St Edmunds,31.8,0.92944,0.01488,0.03010,0.24120,0.48790
W07000076,Caerphilly,Caerphilly,31.8,0.97295,0.00352,0.02040,0.23510,0.51680
S14000009,"Caithness, Sutherland and Easter Ross","Caithness, Sutherland and Easter Ross",26.2,0.71802,0.15458,0.05210,0.31940,0.34410
E14000614,Calder Valley,Calder Valley,34.9,0.89403,0.02131,0.02200,0.26280,0.40830
E14000615,Camberwell and Peckham,Camberwell and Peckham,44.2,0.95642,0.00775,0.01110,0.24030,0.50130
E14000616,Camborne and Redruth,Camborne and Redruth,24.9,0.90324,0.03113,0.03250,0.30830,0.32460
E14000617,Cambridge,Cambridge,66.6,0.98971,0.00611,0.00910,0.12710,0.72060
E14000618,Cannock Chase,Cannock Chase,38.7,0.97119,0.00398,0.00990,0.21830,0.53110
E14000619,Canterbury,Canterbury,29.3,0.92404,0.01541,0.02080,0.23980,0.43750
W07000050,Cardiff Central,Cardiff Central,64.9,0.94775,0.00918,0.01670,0.14610,0.70060
W07000051,Cardiff North,Cardiff North,55.9,0.98647,0.00444,0.01550,0.18620,0.67180
W07000080,Cardiff South and Penarth,Cardiff South and Penarth,59.2,0.98627,0.01466,0.01770,0.18730,0.66300
W07000079,Cardiff West,Cardiff West,62.1,0.98937,0.00061,0.00720,0.16230,0.66870
E14000620,Carlisle,Carlisle,40.4,0.97054,0.01777,0.02950,0.28590,0.56430
W07000067,Carmarthen East and Dinefwr,Carmarthen East and Dinefwr,24.7,0.78898,0.11941,0.07580,0.37760,0.34610
W07000066,Carmarthen West and South Pembrokeshire,Carmarthen West and South Pembrokeshire,29.8,0.87654,0.06123,0.04600,0.30380,0.43040
E14000621,Carshalton and Wallington,Carshalton and Wallington,64.2,0.98758,0.00722,0.00900,0.16390,0.66930
E14000622,Castle Point,Castle Point,46.1,0.98985,0.00225,0.01050,0.19680,0.55540
S14000010,Central Ayrshire,Central Ayrshire,46.3,0.95942,0.01856,0.01380,0.18970,0.51470
E14000623,Central Devon,Central Devon,27.7,0.76786,0.11244,0.03880,0.27640,0.36710
E14000624,Central Suffolk and North Ipswich,Central Suffolk and North Ipswich,36.6,0.89450,0.04321,0.03340,0.27070,0.45620
W07000064,Ceredigion,Ceredigion,25.5,0.80607,0.12434,0.07430,0.37960,0.33200
E14000625,Charnwood,Charnwood,55.9,0.98037,0.00624,0.01750,0.16210,0.61570
E14000626,Chatham and Aylesford,Chatham and Aylesford,67.7,0.98481,0.00633,0.01300,0.15060,0.68730
E14000627,Cheadle,Cheadle,61.6,0.98698,0.00097,0.00490,0.11450,0.62470
E14000628,Chelmsford,Chelmsford,53.8,0.98071,0.00204,0.01230,0.19940,0.62990
E14000629,Chelsea and Fulham,Chelsea and Fulham,46,0.92755,0.00362,0.00760,0.12930,0.55630
E14000630,Cheltenham,Cheltenham,61.2,0.97797,0.01104,0.01800,0.17600,0.66460
E14000631,Chesham and Amersham,Chesham and Amersham,47.7,0.93992,0.01003,0.01300,0.17620,0.56880
E14000632,Chesterfield,Chesterfield,38.6,0.97227,0.00500,0.01730,0.25390,0.53740
E14000633,Chichester,Chichester,29.9,0.91935,0.02182,0.03130,0.23240,0.44100
E14000634,Chingford and Woodford Green,Chingford and Woodford Green,59.6,0.97941,0.01953,0.00650,0.17810,0.61210
