mnemonic, Highest level of qualifications [Census 2011]|No qualifications (percent), Level 1 qualifications (percent), Level 2 qualifications (percent), Apprenticeship (percent), Level 3 qualifications (percent), Level 4 qualifications and above (percent), Other qualifications (percent)
E14000562, 27.6,13.0,12.4,1.4,10.8,27.0,7.8 
E14000563, 39.2,15.6,13.6,1.6,9.6,12.1,8.3 
E14000564, 26.3,12.1,11.5,0.9,14.6,24.9,9.7 
E14000565, 30.0,14.9,16.1,3.1,12.1,19.6,4.3 
E14000566, 29.0,14.2,14.2,2.1,12.6,19.2,8.7 
E14000567, 22.7,11.0,12.8,2.2,20.0,26.9,4.4 
E14000568, 33.4,15.2,15.1,2.6,10.9,16.0,6.8 
E14000605, 21.3,12.8,15.8,4.1,11.7,30.5,3.7 
E14000610, 25.4,14.5,16.2,4.2,11.7,22.0,6.0 
E14000618, 28.2,16.3,17.8,3.6,12.7,17.2,4.2 
E14000649, 28.3,14.8,14.2,3.8,10.9,19.3,8.6 
E14000650, 23.5,13.9,15.0,4.8,13.5,22.9,6.3 
E14000651, 20.0,11.2,13.0,3.6,18.2,26.8,7.2 
E14000671, 32.7,14.3,16.3,3.3,11.4,17.0,4.9 
E14000672, 31.1,14.8,17.1,3.6,11.6,17.2,4.5 
E14000722, 30.6,14.5,16.3,3.5,11.9,19.0,4.4 
E14000743, 24.0,13.2,16.2,3.5,12.3,25.2,5.6 
E14000767, 16.4,10.6,14.4,4.1,12.8,38.0,3.7 
E14000791, 22.0,13.3,15.9,3.6,12.0,29.3,4.0 
E14000799, 23.6,12.8,16.4,3.3,11.7,28.4,3.9 
E14000812, 24.8,14.6,16.1,3.3,11.3,26.2,3.8 
E14000818, 22.7,13.4,15.6,4.0,11.6,27.6,5.1 
E14000834, 26.4,12.4,15.5,3.6,15.4,22.7,4.0 
E14000847, 21.8,12.2,15.7,3.6,11.7,30.1,4.8 
E14000849, 23.8,13.9,17.3,3.7,11.9,24.9,4.6 
E14000854, 28.8,15.6,16.4,4.4,11.7,18.4,4.7 
E14000868, 27.0,15.6,16.8,4.5,11.9,19.4,4.9 
E14000892, 24.6,15.5,16.9,3.7,12.0,21.7,5.5 
E14000905, 20.5,13.5,16.0,5.4,11.7,26.7,6.2 
E14000926, 20.5,12.6,16.7,4.1,12.6,29.3,4.2 
E14000931, 20.4,12.5,16.1,3.6,12.1,31.1,4.2 
E14000945, 24.5,14.0,16.5,4.0,12.5,24.5,3.9 
E14000965, 20.4,13.3,16.2,3.5,13.8,28.4,4.5 
E14000966, 26.6,12.7,15.8,4.2,12.2,24.1,4.4 
