objectid,pcon17cd,pcon17nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
442,E14000971,Stockton South,443143,513821,-1.33500004,54.51789856,84302059.2441183,67886.7750291813
443,E14000972,Stoke-on-Trent Central,389141,347318,-2.16330004,53.02310181,30275349.2288349,42245.917646174
444,E14000973,Stoke-on-Trent North,387700,351970,-2.18499994,53.06480026,42189883.0820661,40473.8978900766
445,E14000974,Stoke-on-Trent South,390276,342227,-2.14619994,52.97729874,32839862.3694777,38250.0833478427
446,E14000975,Stone,388489,330561,-2.1724,52.87239838,621070435.182188,240620.257777609
447,E14000976,Stourbridge,391209,284285,-2.13070011,52.45650101,27402610.8842507,28633.1658467441
448,E14000977,Stratford-on-Avon,419834,253616,-1.71130002,52.18050003,670730348.456522,201460.240280666
449,E14000978,Streatham,530188,172431,-0.1284,51.43590164,10445456.4413747,18701.7373129381
450,E14000979,Stretford and Urmston,376790,394312,-2.35089993,53.44509888,46754888.2218889,38487.1641874346
451,E14000980,Stroud,382161,205282,-2.25970006,51.7458992,385498074.981715,152433.828704467
452,E14000981,Suffolk Coastal,635965,249452,1.44335997,52.0931015,754330577.331869,422200.746736919
453,E14000982,Sunderland Central,438940,556531,-1.39419997,54.90200043,28988532.6493439,49765.6261068054
454,E14000983,Surrey Heath,493294,162147,-0.66170001,51.35070038,108115291.244453,71128.2390995129
455,E14000984,Sutton and Cheam,524746,164092,-0.2095,51.36220169,18342240.1952665,25445.6046454046
456,E14000985,Sutton Coldfield,412968,296625,-1.81009996,52.56729889,57658187.5898862,42047.5951165626
457,E14000986,Tamworth,416920,302985,-1.75139999,52.62440109,179611960.50679,94026.5179970068
458,E14000987,Tatton,372677,375936,-2.41120005,53.27970123,330460768.662747,131728.325922341
459,E14000988,Taunton Deane,318327,123470,-3.16540003,51.00479889,462332708.855439,169942.576438988
460,E14000989,Telford,369255,307882,-2.45600009,52.6678009,50558651.2132782,39602.6530023467
461,E14000990,Tewkesbury,395051,226279,-2.07329988,51.93500137,368802692.057202,168311.103372075
462,E14000991,The Cotswolds,407586,216304,-1.89119995,51.84529877,1239744950.86758,349705.137669707
463,E14000992,The Wrekin,369695,319172,-2.45059991,52.76929855,345253460.467657,154394.986041664
464,E14000993,Thirsk and Malton,465689,478532,-0.9946,54.19839859,2136849112.20338,341061.621018008
465,E14000994,Thornbury and Yate,369237,185199,-2.44519997,51.56480026,373140757.841617,138921.014607898
466,E14000995,Thurrock,559439,180025,0.29550999,51.49670029,68037169.927254,56832.3594211579
467,E14000996,Tiverton and Honiton,312313,107480,-3.24720001,50.86009979,903584188.159405,211261.5716209
468,E14000997,Tonbridge and Malling,561918,151566,0.31823,51.24029922,300694415.678971,129129.407682666
