ID,Name,Region,Atrial Fibrilliation,Asthma,Cancer,Coronary Heart Disease,Chronic Kidney Disease,COPD,Cardiovascular Disease (Primary Prevention),Dementia,Depression,Diabetes,Epilepsy,Heart Failure,High Blood Pressure,Learning Disabilities,Serious Mental Illness,Obesity,Osteoporisis,Peripheral Arterial Disease,Palliative Care,Rheumatoid Arthritis,Stroke & Transient Ischaemic Attack
E14000656,Croydon South,London,0.01651,0.0491,0.02573,0.02513,0.03591,0.01218,0.01045,0.00791,0.0739,0.06129,0.00683,0.00547,0.12943,0.00502,0.00986,0.06898,0.00362,0.00393,0.00399,0.00756,0.01365
E14000657,Dagenham and Rainham,London,0.01228,0.04473,0.0206,0.02135,0.02774,0.01646,0.01074,0.00497,0.06452,0.076,0.00635,0.00501,0.12768,0.00397,0.00735,0.12312,0.00418,0.00415,0.0022,0.00764,0.01108
E14000658,Darlington,North East,0.02118,0.06242,0.02887,0.03849,0.04475,0.0272,0.01482,0.00954,0.1201,0.07573,0.01,0.01545,0.15522,0.00651,0.01105,0.14887,0.01059,0.00848,0.00635,0.00862,0.0217
E14000659,Dartford,South East,0.01667,0.04688,0.02358,0.02498,0.04298,0.01675,0.00521,0.00651,0.07967,0.06614,0.00715,0.00513,0.13723,0.00277,0.00716,0.08536,0.0036,0.00429,0.00439,0.00801,0.01467
E14000660,Daventry,East Midlands,0.02089,0.06363,0.02968,0.02895,0.04493,0.01533,0.01217,0.00722,0.10944,0.06237,0.00658,0.00736,0.15138,0.00361,0.00662,0.09024,0.00427,0.0056,0.0022,0.00696,0.01661
E14000661,Denton and Reddish,North West,0.01929,0.06279,0.02528,0.03795,0.03326,0.02864,0.01498,0.00775,0.12475,0.07348,0.00938,0.01035,0.15443,0.00529,0.00908,0.10381,0.00569,0.00836,0.00447,0.00726,0.01938
E14000662,Derby North,East Midlands,0.01726,0.06018,0.02398,0.03128,0.05517,0.01742,0.00954,0.0076,0.0946,0.06786,0.00862,0.01017,0.13078,0.00716,0.00975,0.09436,0.00614,0.00598,0.00481,0.00721,0.01727
E14000663,Derby South,East Midlands,0.01438,0.05942,0.01941,0.02967,0.04913,0.01791,0.01105,0.00683,0.09971,0.07887,0.009,0.00845,0.12678,0.00909,0.00953,0.10047,0.00418,0.00528,0.00461,0.00747,0.01559
E14000664,Derbyshire Dales,East Midlands,0.02902,0.06629,0.03825,0.0376,0.06118,0.01774,0.01359,0.00967,0.08193,0.06328,0.00735,0.01228,0.16505,0.00392,0.00738,0.08381,0.00582,0.007,0.00612,0.00889,0.02407
E14000665,Devizes,South West,0.02325,0.06499,0.03432,0.03247,0.04078,0.01771,0.00951,0.00836,0.09495,0.06445,0.00827,0.00821,0.1488,0.00513,0.00706,0.09663,0.00467,0.00604,0.00246,0.00799,0.01914
E14000666,Dewsbury,Yorkshire and The Humber,0.01709,0.06645,0.02593,0.03519,0.04648,0.02015,0.01013,0.00666,0.10553,0.07907,0.00784,0.00916,0.14146,0.00649,0.00919,0.11102,0.00806,0.00582,0.00328,0.00822,0.01749
E14000667,Don Valley,Yorkshire and The Humber,0.02264,0.06836,0.02662,0.03726,0.06205,0.02928,0.01175,0.00991,0.09851,0.08196,0.01021,0.01053,0.15992,0.0062,0.00726,0.13992,0.00365,0.00751,0.00409,0.00904,0.02127
E14000668,Doncaster Central,Yorkshire and The Humber,0.02054,0.0621,0.02476,0.03252,0.05214,0.02357,0.01287,0.00781,0.10538,0.07686,0.00937,0.00975,0.14222,0.00492,0.0089,0.12378,0.00363,0.00646,0.00404,0.00742,0.0188
E14000669,Doncaster North,Yorkshire and The Humber,0.02158,0.06593,0.0274,0.03678,0.05447,0.03078,0.01309,0.00813,0.08768,0.08125,0.00971,0.01,0.15417,0.00472,0.00775,0.15809,0.00377,0.00846,0.00443,0.0088,0.02027
E14000670,Dover,South East,0.02525,0.05589,0.03368,0.03507,0.06124,0.02569,0.00861,0.00942,0.09674,0.07281,0.01054,0.00726,0.15918,0.00663,0.00906,0.11778,0.00598,0.00673,0.00152,0.00883,0.0211
E14000671,Dudley North,West Midlands,0.02183,0.06521,0.02681,0.03831,0.0594,0.02176,0.00996,0.00744,0.12293,0.08161,0.00947,0.00873,0.16637,0.00507,0.00935,0.14486,0.00311,0.00615,0.00688,0.00907,0.01938
E14000672,Dudley South,West Midlands,0.02583,0.0638,0.03269,0.03991,0.06215,0.0219,0.01212,0.01081,0.11598,0.07693,0.00936,0.00883,0.17586,0.00436,0.00775,0.15635,0.00468,0.00689,0.0106,0.00964,0.02088
E14000673,Dulwich and West Norwood,London,0.00803,0.04732,0.01729,0.01305,0.01615,0.00981,0.01197,0.00333,0.07579,0.05475,0.00538,0.00379,0.09707,0.00347,0.01247,0.06623,0.00235,0.00293,0.00157,0.00492,0.0098
E14000674,Ealing Central and Acton,London,0.01126,0.04195,0.01861,0.01932,0.02407,0.00927,0.0107,0.00426,0.05879,0.05055,0.00508,0.00456,0.09962,0.00294,0.01208,0.06791,0.00381,0.0028,0.00197,0.00443,0.00969
E14000675,Ealing North,London,0.0124,0.05248,0.0174,0.02412,0.03076,0.01045,0.01447,0.00451,0.06074,0.08206,0.00538,0.00592,0.13137,0.0034,0.01061,0.08875,0.0031,0.00288,0.00181,0.0056,0.01027
E14000676,"Ealing, Southall",London,0.00986,0.05326,0.01379,0.02747,0.02475,0.00761,0.01403,0.0041,0.04866,0.1054,0.00527,0.00554,0.13329,0.00323,0.01072,0.0893,0.00256,0.00222,0.00207,0.00565,0.00894
E14000677,Easington,North East,0.02169,0.06449,0.03103,0.0517,0.05362,0.04347,0.01315,0.01001,0.10624,0.07647,0.01188,0.01252,0.17646,0.00934,0.01013,0.16546,0.00736,0.00874,0.0069,0.00865,0.02367
E14000678,East Devon,South West,0.03076,0.0682,0.03918,0.03957,0.06003,0.01964,0.01036,0.01123,0.09916,0.07059,0.00872,0.01101,0.16962,0.00528,0.00824,0.07471,0.01562,0.00651,0.00394,0.00764,0.02531
E14000679,East Ham,London,0.00517,0.04477,0.00939,0.01929,0.03137,0.00889,0.01113,0.00316,0.05066,0.09624,0.00465,0.00562,0.10811,0.00389,0.01089,0.11347,0.00193,0.00193,0.00261,0.00508,0.00772
E14000680,East Hampshire,South East,0.02404,0.0613,0.03503,0.03075,0.04092,0.01597,0.0104,0.01079,0.1117,0.05866,0.00816,0.00756,0.14366,0.00495,0.0082,0.08511,0.00613,0.00553,0.00392,0.00735,0.01884
E14000681,East Surrey,South East,0.02315,0.05515,0.03111,0.03008,0.04919,0.01499,0.01135,0.00893,0.09405,0.05786,0.00807,0.00792,0.13241,0.00769,0.00712,0.06571,0.01126,0.00503,0.00225,0.00848,0.01759
E14000682,East Worthing and Shoreham,South East,0.02577,0.06654,0.03328,0.03959,0.0496,0.02115,0.01318,0.00911,0.13611,0.07751,0.00795,0.01118,0.16336,0.00531,0.01006,0.09086,0.01027,0.00744,0.00534,0.00849,0.02094
